source_content_type_id,source_lcls3_code,target_place_type,target_subtype_code,target_subtype_name,mapping_status,source_count,sample_titles
12,HS010800,TOURIST_SPOT,HISTORIC_SITE,유적·고택·문화유산,CONFIRMED,201,김해 대성동 고분군 / 진천 이영남 묘소 / 김해수로왕릉
12,HS010900,TOURIST_SPOT,HISTORIC_SITE,유적·고택·문화유산,CONFIRMED,905,정안사(장흥) / 밀양향교 / 연곡서원
12,HS011000,TOURIST_SPOT,HISTORIC_SITE,유적·고택·문화유산,CONFIRMED,69,거창 내오리 지석묘 / 울주 천전리 명문과 암각화 [유네스코 세계유산] / 울주 대곡리 반구대 암각화 [유네스코 세계유산]
12,HS011100,TOURIST_SPOT,HISTORIC_SITE,유적·고택·문화유산,CONFIRMED,65,익산근대역사관 / 광양 서울대학교 남부연습림 관사 / 송현배수지제수변실
12,HS011200,TOURIST_SPOT,HISTORIC_SITE,유적·고택·문화유산,CONFIRMED,392,장흥 사인정 / 태봉국 궁예왕 역사공원 / 거창 원천정
12,HS020100,TOURIST_SPOT,HISTORIC_SITE,유적·고택·문화유산,CONFIRMED,250,동학농민혁명기념탑 / 단양 향산리 삼층석탑 / 군산 발산리 오층석탑
12,HS020200,TOURIST_SPOT,HISTORIC_SITE,유적·고택·문화유산,CONFIRMED,1,옥천 석탄리 선돌
12,HS020300,TOURIST_SPOT,HISTORIC_SITE,유적·고택·문화유산,CONFIRMED,117,거창 강남사지 석조여래입상 / 거창 가섭암지 마애여래삼존입상 / 광경사지 석불좌상
12,HS020400,TOURIST_SPOT,HISTORIC_SITE,유적·고택·문화유산,CONFIRMED,30,관덕정의 각궁 / 용동큰우물 / 목포오포대
12,HS030100,TOURIST_SPOT,TEMPLE_RELIGIOUS,사찰·종교시설,CONFIRMED,1005,내소사(부안) / 내원정사(부산) / 관문사(서울)
12,HS030200,TOURIST_SPOT,TEMPLE_RELIGIOUS,사찰·종교시설,CONFIRMED,102,새미은총의동산 / 태안성당 / 가회동성당
12,HS030400,TOURIST_SPOT,TEMPLE_RELIGIOUS,사찰·종교시설,CONFIRMED,35,거창 당동 당집 / 거창 거기리 성황단 / 가톨릭 목포 성지
12,HS040100,TOURIST_SPOT,HISTORIC_SITE,유적·고택·문화유산,CONFIRMED,14,상승전망대 / 필리핀군 참전기념비 / 유엔군 초전기념비
12,HS040200,TOURIST_SPOT,HISTORIC_SITE,유적·고택·문화유산,CONFIRMED,27,"캠프 그리브스 / 오산 죽미령 평화공원 / 월남 파병용사 만남의 장 (구, 베트남 참전용사 만남의 장)"
12,HS040400,TOURIST_SPOT,HISTORIC_SITE,유적·고택·문화유산,CONFIRMED,6,김일성 별장 / 이종석별장 / 안국사
12,NA010100,TOURIST_SPOT,MOUNTAIN,산·오름,CONFIRMED,565,서대문 안산(안산자락길) / 새별오름 / 용눈이오름
12,NA010200,TOURIST_SPOT,FOREST_RECREATION,자연휴양림·수목원,CONFIRMED,73,내소사 전나무 숲길 / 맥문동숲길 / 광양 옥룡사 동백나무 숲
12,NA010300,TOURIST_SPOT,WATERFALL,폭포,CONFIRMED,83,천일폭포 / 수옥폭포 / 수락폭포
12,NA010400,TOURIST_SPOT,VALLEY,계곡,CONFIRMED,289,수포대 / 천전리각석계곡(울산) / 밀양 얼음골
12,NA010500,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,23,당몰샘 / 방동약수 / 삼신할미약수터
12,NA020100,TOURIST_SPOT,LAKE_RIVER,호수·강,CONFIRMED,69,경인아라뱃길 귤현나루 / 보성강 / 탐진강
12,NA020200,TOURIST_SPOT,LAKE_RIVER,호수·강,CONFIRMED,60,세병호 / 영암호(철새도래지) / 풍암호수
12,NA020300,TOURIST_SPOT,LAKE_RIVER,호수·강,CONFIRMED,144,청호저수지 / 단산 저수지 / 원남저수지(원남제)
12,NA020400,TOURIST_SPOT,LAKE_RIVER,호수·강,CONFIRMED,18,나주 완사천 / 혼인지 / 무안회산백련지
12,NA020500,TOURIST_SPOT,ISLAND,섬,CONFIRMED,278,노력도 / 초양도 / 동검도
12,NA020600,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,5,천일염전 / 신안 비금도 대동염전 / 곰소염전
12,NA020700,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,338,신양선착장 / 큰무리선착장 / 암태남강선착장
12,NA020800,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,55,완도 정도리 구계등 / 세방낙조 전망대 / 거문도 신선바위
12,NA020900,TOURIST_SPOT,BEACH,해변·해수욕장,CONFIRMED,419,세기알해변 / 반비치 / 춘장대해수욕장
12,NA030100,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,41,충주 활옥동굴 / 화암동굴 (강원고생대 국가지질공원) / 백룡동굴 (강원고생대 국가지질공원)
12,NA030200,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,99,장흥 삼산리 후박나무 / 무안 망운면의 곰솔 / 양림동 호랑가시나무길
12,NA030300,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,87,선녀바위 / 무등산 주상절리대 / 화순 서유리 공룡발자국화석 산지
12,NA030400,TOURIST_SPOT,PARK,공원,CONFIRMED,39,순천만습지 / 단양 사인암 / 담양습지
12,NA030500,TOURIST_SPOT,FOREST_RECREATION,자연휴양림·수목원,CONFIRMED,46,백운산치유의숲 / 산이반도 / 덕산너덜 (무등산권 국가지질공원)
12,NA040100,TOURIST_SPOT,PARK,공원,CONFIRMED,46,무등산국립공원(광주) / 다도해 해상국립공원(완도) / 무등산국립공원(전남)
12,NA040200,TOURIST_SPOT,PARK,공원,CONFIRMED,29,팔공산국립공원(군위군) / 조계산도립공원 / 두륜산도립공원
12,NA040300,TOURIST_SPOT,PARK,공원,CONFIRMED,16,황매산 군립공원 / 강천산 군립공원 / 상족암군립공원
12,NA040400,TOURIST_SPOT,PARK,공원,CONFIRMED,50,두산 활공장 / 화순 고인돌 장동응회암 (무등산권 국가지질공원) / 임진강자연센터
12,NA040500,TOURIST_SPOT,PARK,공원,CONFIRMED,284,용두산 생태공원 / 흘아카이브 / 탐진강 생태습지원
